filename,year,sheet,n_rows,n_cols,has_location_col,has_year_col,columns_preview
Advanced Black W and St T Summary 2015.xlsx,2015,Sheet1,52,34,False,False, |  |  |  |  | Advanced Black Trial |  | 
Advanced Black W and St T Summary 2015.xlsx,2015,Sheet2,0,1,False,False,
Advanced Black W and St T Summary 2015.xlsx,2015,Sheet3,0,1,False,False,
Advanced Cran E and St T Summary 2015.xlsx,2015,Sheet1,37,31,False,False, |  |  |  |  | Advanced Cranberry Trial |  | 
Advanced Cran E and St T Summary 2015.xlsx,2015,Sheet2,0,1,False,False,
Advanced Cran E and St T Summary 2015.xlsx,2015,Sheet3,0,1,False,False,
Advanced Kidney Summary E and StT 2015.xlsx,2015,Sheet1,50,34,False,False, |  |  |  |  | Advanced Kidney Trial |  | 
Advanced Kidney Summary E and StT 2015.xlsx,2015,Sheet2,0,1,False,False,
Advanced Kidney Summary E and StT 2015.xlsx,2015,Sheet3,0,1,False,False,
Advanced NDSD Pinto Summary 2015.xlsx,2015,Sheet1,30,20,False,False, |  | Advanced NDSD Pinto Trial |  |  |  |  | 
Advanced NDSD Pinto Summary 2015.xlsx,2015,Sheet2,0,1,False,False,
Advanced NDSD Pinto Summary 2015.xlsx,2015,Sheet3,0,1,False,False,
Advanced Navy Early Summary E and St T 2015.xlsx,2015,Sheet1,42,34,False,False, |  |  |  |  | Advanced Navy Early Trial |  | 
Advanced Navy Early Summary E and St T 2015.xlsx,2015,Sheet2,0,1,False,False,
Advanced Navy Early Summary E and St T 2015.xlsx,2015,Sheet3,0,1,False,False,
Advanced Navy Full E and StT Summary 2015.xlsx,2015,Sheet1,41,33,False,False, |  |  |  |  | Advanced Navy Full Trial |  | 
Advanced Navy Full E and StT Summary 2015.xlsx,2015,Sheet2,0,1,False,False,
Advanced Navy Full E and StT Summary 2015.xlsx,2015,Sheet3,0,1,False,False,
Advanced Navy Medium E and StT Summary 2015.xlsx,2015,Sheet1,41,33,False,False, |  |  |  |  | Advanced Navy Medium Trial |  | 
Advanced Navy Medium E and StT Summary 2015.xlsx,2015,Sheet2,0,1,False,False,
Advanced Navy Medium E and StT Summary 2015.xlsx,2015,Sheet3,0,1,False,False,
Advanced Pinto Summary E and St T 2015.xlsx,2015,Sheet1,44,31,False,False, |  |  |  |  | Advanced Pinto Trial |  | 
Advanced Pinto Summary E and St T 2015.xlsx,2015,Sheet2,0,1,False,False,
Advanced Pinto Summary E and St T 2015.xlsx,2015,Sheet3,0,1,False,False,
CBAT sum 4 or 5 locns 2015.xlsx,2015,Sheet1,46,11,False,False, |  |  |  |  |  |  | 
CBAT sum 4 or 5 locns 2015.xlsx,2015,Sheet2,0,1,False,False,
CBAT sum 4 or 5 locns 2015.xlsx,2015,Sheet3,0,1,False,False,
Elora Lg Sd Coloured Regn Perf 2015.xlsx,2015,Sheet1,31,16,False,False, | Ontario Large Seeded Coloured Bean Registration and Performance Trial |  |  |  |  |  | 
Elora Lg Sd Coloured Regn Perf 2015.xlsx,2015,Sheet2,0,1,False,False,
Elora Lg Sd Coloured Regn Perf 2015.xlsx,2015,Sheet3,0,1,False,False,
